B01041,110,Note 0,0,Matthew 8,,Mat 8
B01041,110,Note 1,0,John 11,,Ioan 11
B01041,117,Note 0,0,2 Kings 3,,2 Reg 3
B01041,117,Note 1,0,2 Kings 20,,2 Reg 20
B01041,118,Note 0,0,2 Kings 13,,2 Reg 13
B01041,120,Note 0,0,Matthew 2^,,Mat 2^
B01041,133,Note 0,0,Ecclesiastes 12,,Ecclesi 12
B01041,139,Note 0,0,Proverbs 1,,Pro 1
B01041,140,Note 0,0,Isaiah 3,,Esay 3
B01041,152,Note 0,0,2 Corinthians 1,,2 Cor 1
B01041,152,Note 1,0,Matthew 25,,Mat 25
B01041,164,Note 0,0,Proverbs 11,,prouer 11
B01041,170,Note 1,0,Luke 13,,Luc 13
B01041,171,Note 0,0,Acts 23,,Acto 23
B01041,173,Note 0,0,Matthew 5,,Mat 5
B01041,188,Note 0,0,Genesis 1,,Genesis 1
B01041,195,Note 0,0,Genesis 1^,,Gene 1^
B01041,205,Note 0,0,Isaiah 5,,Esai 5
B01041,209,Note 0,0,Ephesians 6,,Ephe 6
B01041,213,Note 0,0,Matthew 5,,Mat 5
B01041,220,Note 0,0,Psalms 13,,Psal 13
B01041,221,Note 0,0,Genesis 12,,Gene 12
B01041,223,Note 0,0,Genesis 20,,Gene 20
B01041,238,Note 1,0,Matthew 17,,Mat 17
B01041,238,Note 2,0,Romans 13,,Rom 13
B01041,263,Note 0,0,1 Corinthians 9,,1 Cor 9
B01041,293,Note 0,0,Genesis 4.9,,Gen 4 9
B01041,294,Note 0,0,Acts 5.18,,Act 5 18
B01041,294,Note 0,1,Joshua 1.20; Joshua 1.4,,Iose 1 20 4
B01041,297,Note 0,0,Luke 3,,Luc 3
B01041,300,Note 0,0,John 5,,Ioh 5
B01041,306,Note 0,0,Hebrews 9,,Hebre 9
B01041,308,Note 0,0,1 Timothy 4,,1 Tim 4
B01041,308,Note 1,0,Titus 1,,Tit 1
B01041,311,Note 0,0,1 Timothy 5,,1 Tim 5
B01041,314,Note 0,0,2 Timothy 2,,2 Timo 2
B01041,315,Note 0,0,2 Timothy 4,,2 Tim 4
B01041,319,Note 0,0,1 Thessalonians 5,,1 Thes 5
B01041,320,Note 0,0,Hebrews 1^,,Hebre 1^
B01041,322,Note 0,0,Matthew 7,,Math 7
B01041,322,Note 1,0,Romans 2,,Rom 2
B01041,323,Note 0,0,Revelation 5,,Apoc 5
B01041,323,Note 0,1,1 Peter 2,,1 Pet 2
B01041,325,Note 0,0,Romans 6,,Rom 6
B01041,325,Note 1,0,Romans 12,,Rom 12
