B00958,482,0,0,Acts 2,,Actes 2
B00958,483,0,0,Acts 3,,Actes 3
B00958,484,0,0,Acts 4.5; Acts 4.6,,Act 4 5 6
B00958,503,0,0,Acts 8,,Act 8
B00958,565,0,0,1 Corinthians 11,,1 Cor 11
B00958,568,0,0,John 6,,Iohn 6
B00958,581,0,0,Mark 10,,Marke 10
B00958,582,0,0,John 7,,Iohn 7
B00958,584,0,0,John 12,,Iohn 12
B00958,603,0,0,Genesis 18,,Gene 18
B00958,606,0,0,Exodus 3,,Exod 3
B00958,607,0,0,Joshua 5,,Iosue 5
B00958,614,2,0,Exodus 20,,Exo 20
B00958,617,0,0,Matthew 17,,Math 17
B00958,623,0,0,John 6,,Iohn 6
B00958,624,0,0,John 6,,Iohn 6
B00958,626,0,0,Matthew 11,,Math 11
B00958,636,0,0,Romans 4,,Roma 4
B00958,639,0,0,2 Corinthians 10,,2 Corin 10
B00958,642,0,0,1 Corinthians 1,,1 Corin 1
B00958,648,0,0,1 Corinthians 11,,1 Corin 11
B00958,650,0,0,Psalms 110,,Psal 110
B00958,655,0,0,Matthew 26,,Math 26
B00958,657,0,0,Mark 14,,Mar 14
B00958,663,0,0,1 Corinthians ^,,1 Corin ^
B00958,663,1,0,John 6,,Iohn 6
B00958,666,0,0,1 Corinthians 15,,1 Corin 15
B00958,668,0,0,Galatians 6,,Galath 6
B00958,682,0,0,John 6,,Iohn 6
B00958,703,0,0,John 6,,Iohn 6
B00958,706,0,0,1 Corinthians 11,,1 Corin 11
B00958,710,0,0,1 John 4,,1 Iohn 4
B00958,726,0,0,John 10.15,,Iohn 10 15
B00958,726,1,0,1 Corinthians 10,,1 Corin 10
B00958,732,0,0,John 16,,Iohn 16
B00958,733,0,0,John 10; John 16,,Iohn 10 & 16
B00958,734,0,0,John 2; John 16,,Iohn 2 & 16
B01041,9,0,0,Matthew 21,,Mat 21
B01041,9,1,0,Psalms 2,,Psal 2
B01041,11,0,0,Proverbs 21,,Pro 21
B01041,20,1,0,Matthew 22,,Math 22
B01041,31,0,0,Ecclesiastes 32,,Ecclesi 32
B01041,33,0,0,1 John 4,,1 Ioan 4
B01041,34,0,0,2 Kings 10,,2 Reg 10
B01041,37,0,0,Kings 3.12,,3 Reg 3 12
B01041,40,0,0,2 Kings 16,,2 Reg 16
B01041,47,0,0,Luke 9,,Luc 9
B01041,59,0,0,Matthew 1^,,Mat 1^
B01041,63,1,0,Matthew 21,,Math 21
B01041,70,0,0,Luke 23,,Luc 23
B01041,77,0,0,Luke 13,,Luc 13
B01041,89,0,0,Matthew 18,,Math 18
B01041,94,0,0,Matthew 5,,Math 5
B01041,101,0,0,1 Corinthians 1,,1 Cor 1
B01041,105,0,0,John 13,,Ioan 13
B01041,110,0,0,Matthew 8,,Mat 8
B01041,110,1,0,John 11,,Ioan 11
B01041,117,0,0,2 Kings 3,,2 Reg 3
B01041,117,1,0,2 Kings 20,,2 Reg 20
B01041,118,0,0,2 Kings 13,,2 Reg 13
B01041,120,0,0,Matthew 2^,,Mat 2^
B01041,133,0,0,Ecclesiastes 12,,Ecclesi 12
B01041,139,0,0,Proverbs 1,,Pro 1
B01041,140,0,0,Isaiah 3,,Esay 3
B01041,152,0,0,2 Corinthians 1,,2 Cor 1
B01041,152,1,0,Matthew 25,,Mat 25
B01041,164,0,0,Proverbs 11,,prouer 11
B01041,170,1,0,Luke 13,,Luc 13
B01041,171,0,0,Acts 23,,Acto 23
B01041,173,0,0,Matthew 5,,Mat 5
B01041,188,0,0,Genesis 1,,Genesis 1
B01041,195,0,0,Genesis 1^,,Gene 1^
B01041,205,0,0,Isaiah 5,,Esai 5
B01041,209,0,0,Ephesians 6,,Ephe 6
B01041,213,0,0,Matthew 5,,Mat 5
B01041,220,0,0,Psalms 13,,Psal 13
B01041,221,0,0,Genesis 12,,Gene 12
B01041,223,0,0,Genesis 20,,Gene 20
B01041,238,1,0,Matthew 17,,Mat 17
B01041,238,2,0,Romans 13,,Rom 13
B01041,263,0,0,1 Corinthians 9,,1 Cor 9
B01041,293,0,0,Genesis 4.9,,Gen 4 9
B01041,294,0,0,Acts 5.18,,Act 5 18
B01041,294,0,1,Joshua 1.20; Joshua 1.4,,Iose 1 20 4
B01041,297,0,0,Luke 3,,Luc 3
B01041,300,0,0,John 5,,Ioh 5
B01041,306,0,0,Hebrews 9,,Hebre 9
B01041,308,0,0,1 Timothy 4,,1 Tim 4
B01041,308,1,0,Titus 1,,Tit 1
B01041,311,0,0,1 Timothy 5,,1 Tim 5
B01041,314,0,0,2 Timothy 2,,2 Timo 2
B01041,315,0,0,2 Timothy 4,,2 Tim 4
B01041,319,0,0,1 Thessalonians 5,,1 Thes 5
B01041,320,0,0,Hebrews 1^,,Hebre 1^
B01041,322,0,0,Matthew 7,,Math 7
B01041,322,1,0,Romans 2,,Rom 2
B01041,323,0,0,Revelation 5,,Apoc 5
B01041,323,0,1,1 Peter 2,,1 Pet 2
B01041,325,0,0,Romans 6,,Rom 6
B01041,325,1,0,Romans 12,,Rom 12
B01041,329,1,0,Joshua 15.2,,Iose 15 2
B01041,329,2,0,1 Corinthians 6,,1 Cor 6
B01041,329,2,1,2 Corinthians 6,,2 Cor 6
B01041,331,0,0,Romans 7,,Rom 7
B01041,331,0,1,Acts 8,,Acto 8
B01041,332,0,0,Malachi 1,,Malach 1
B01041,338,0,0,Isaiah 14,,Isai 14
B01041,338,1,0,Genesis 3,,Gene 3
B01041,345,0,0,Ephesians 4,,Ephe 4
B01041,348,0,0,Philippians 2,,Philip 2
B01041,353,0,0,Titus 2,,Tit 2
B01041,354,0,0,1 Peter 2,,1 Pet 2
B01041,354,1,0,Ecclesiastes ^0,,Eccle ^0
B01041,359,0,0,Matthew 11,,Math 11
B01041,366,0,0,2 Timothy 2,,2 Timo 2
B01041,367,0,0,2 Peter 1,,2 Pet 1
B01041,368,0,0,2 Timothy 2,,2 Timo 2
B01041,369,0,0,Psalms 93,,Psal 93
B01041,374,0,0,Psalms 93,,Psal 93
B01041,381,0,0,Ephesians 6,,Ephe 6
B01041,387,0,0,Malachi 4,,Mala 4
B01041,400,0,0,Acts 7,,Act 7
B01041,400,0,1,Deuteronomy 18,,Deut 18
B01041,404,0,0,1 Corinthians 1,,1 Cor 1
B01041,404,0,1,Isaiah 29,,Isai 29
B01041,408,0,0,Matthew 11,,Math 11
B01041,409,0,0,Philippians 3,,Philip 3
B01041,409,1,0,Matthew 3,,Math 3
B01041,409,2,0,Matthew 24,,Math 24
B01041,410,0,0,Psalms 33,,Psal 33
B01041,411,0,0,Matthew 24,,Math 24
B01041,412,0,0,Matthew 26,,Math 26
B01041,413,0,0,Psalms 44,,Psal 44
B01041,418,0,0,Psalms 28,,Psal 28
B01041,418,1,0,John 7,,Iohn 7
B01041,418,2,0,1 Timothy 2,,1 Timo 2
B01041,420,0,0,2 Thessalonians 2,,2 Thes 2
B01041,423,0,0,Isaiah ^,,Isai ^
B01041,427,0,0,Psalms 129,,Psal 129
B01041,428,0,0,Psalms 68,,Psal 68
B01041,434,0,0,Romans 5,,Roma 5
B01041,436,0,0,Revelation 1,,Apoc 1
B01041,438,0,0,Matthew 3,,Math 3
