A02882,259,0,Matthew 1,,Matth 1
A02882,263,0,Corinthians 10,,corinthians 10
A02883,34,0,Ephesians 5,,Ephesyans 5
A02883,35,0,Matthew 10,,Mathew 10
A02883,50,0,Hebrews 9,,Hebrues 9
A02883,52,0,Hebrews 10,,Hebrues 10
A02883,61,0,Hebrews 9,,Hebrues 9
A02883,62,0,1 Corinthians 13,,1 Corint 13
A02883,69,0,Psalms 15,,Psalm 15
A02883,76,0,Mark 16,,Mark 16
A02883,77,0,Ephesians 5,,Ephe 5
A02883,94,0,Matthew 26,,Matth 26
A02883,98,0,Luke 21,,Luke 21
A02883,108,0,Isaiah 66,,Esai 66
A02883,111,0,Corinthians 5,,Cor 5
A02883,182,0,Romans 3,,Rom 3
A02883,196,0,Acts 13,,Act 13
A02883,201,0,Romans 10,,Ro 10
A02883,202,0,Acts 11,,Actes 11
A02883,209,0,1 Corinthians 15,,1 Corint 15
A02883,210,0,Job 19,,Iob 19
A02883,213,0,Ezekiel 35,,Ezech 35
A02883,215,0,Daniel 12,,Daniel 12
A02883,218,0,Matthew 22,,Matt 22
A02883,220,0,1 Corinthians 15.1,,1 Corint 15 1
A02883,223,0,1 Corinthians 15.1,,1 Corint 15 1
A02883,226,0,1 Corinthians 15,,1 Cor 15
A02883,231,0,Daniel 12,,Daniel 12
A02883,232,0,Hosea 13.1,,Oseas 13 1
A02883,233,0,Ezekiel 33.1,,"Ezechiel 33 , 1"
A02883,236,0,Isaiah 66,,Esai 66
A02883,240,0,John 17,,Iohn 17
A02883,244,0,Psalms 31,,Psal 31
A02883,246,0,Matthew 25,,Matt 25
A02883,247,0,Romans 5,,Roma 5
A02883,251,0,John 3,,Iohn 3
A02883,256,0,1 Corinthians 13,,1 Cor 13
A02883,271,0,Matthew 28,,Matt 28
A02883,296,0,Genesis 16,,Gene 16
A02883,300,0,1 Corinthians 11,,1 Corint 11
A02883,312,0,1 Corinthians 15,,1 Cor 15
A02883,359,0,Ephesians 5,,Ephesyans 5
A02883,360,0,Matthew 10,,Mathew 10
A02883,375,0,Hebrews 9,,Hebrues 9
A02883,377,0,Hebrews 10,,Hebrues 10
A02883,386,0,Hebrews 9,,Hebrues 9
A02883,387,0,1 Corinthians 13,,1 Corint 13
A02883,394,0,Psalms 15,,Psalm 15
A02883,401,0,Mark 16,,Mark 16
A02883,402,0,Ephesians 5,,Ephe 5
